Req_no		Arr_time   Process_start   Process_end   waiting_time   service_time
001     0.377400107     0.377400107     1.307116618     0.000000000     0.929716511
002     0.687021060     0.687021060     1.082380230     0.000000000     0.395359170
003     0.742542321     0.742542321     3.475504948     0.000000000     2.732962627
004     0.973444687     0.973444687     3.818367109     0.000000000     2.844922422
005     1.187748309     1.187748309     2.113409785     0.000000000     0.925661476
006     1.220043764     1.220043764     3.126524651     0.000000000     1.906480887
007     1.360671484     1.360671484     3.476496743     0.000000000     2.115825259
008     1.734840714     1.734840714     4.125750968     0.000000000     2.390910254
009     1.791857850     1.791857850     3.047690255     0.000000000     1.255832405
010     1.892066776     1.892066776     2.810427733     0.000000000     0.918360957
011     2.094426043     2.094426043     2.403166473     0.000000000     0.308740430
012     2.488314906     2.488314906     3.678499972     0.000000000     1.190185066
013     2.843362167     2.843362167     4.917513652     0.000000000     2.074151485
014     3.039086929     3.039086929     3.296800263     0.000000000     0.257713334
015     3.416426202     3.416426202     5.280432365     0.000000000     1.864006163
016     3.533987411     3.533987411     4.068165888     0.000000000     0.534178477
017     3.663604915     3.663604915     7.589428360     0.000000000     3.925823445
018     3.698074838     3.698074838     4.715387307     0.000000000     1.017312469
019     3.841220447     3.841220447     7.899600123     0.000000000     4.058379676
020     3.955577221     3.955577221     7.768830667     0.000000000     3.813253446
021     3.967363213     3.967363213     9.295179448     0.000000000     5.327816235
022     4.137928772     4.137928772     7.382153602     0.000000000     3.244224830
023     4.310007992     4.310007992     9.352953384     0.000000000     5.042945392
024     4.421434595     4.421434595     4.780989762     0.000000000     0.359555167
025     4.570282677     4.715387307     4.754331699     0.145104630     0.038944392
026     4.773394521     4.773394521     10.478093953     0.000000000     5.704699432
027     5.021531912     5.021531912     10.438906698     0.000000000     5.417374786
028     5.337291681     5.337291681     9.428343555     0.000000000     4.091051874
029     5.610306396     5.610306396     6.171503950     0.000000000     0.561197554
030     5.897188664     6.171503950     10.224730390     0.274315286     4.053226440
031     6.261786395     7.382153602     11.473545289     1.120367207     4.091391687
032     6.616708329     7.589428360     9.283264168     0.972720031     1.693835808
033     6.841512089     7.768830667     9.677597252     0.927318578     1.908766585
034     6.933709522     7.899600123     13.722603551     0.965890601     5.823003428
035     7.180411555     9.283264168     14.455950907     2.102852613     5.172686739
036     7.513872772     9.295179448     9.345889932     1.781306676     0.050710484
037     7.726654948     9.345889932     13.338256443     1.619234984     3.992366511
038     8.124413101     9.352953384     14.833486255     1.228540283     5.480532871
039     8.519031660     9.428343555     16.597616080     0.909311895     7.169272525
040     8.741185978     9.677597252     11.825413538     0.936411274     2.147816286
041     8.849841740     10.224730390     14.537354924     1.374888650     4.312624534
042     9.132514189     10.438906698     12.589193434     1.306392509     2.150286736
043     9.262803754     10.478093953     16.810688887     1.215290199     6.332594934
044     9.514443143     11.473545289     18.434840907     1.959102146     6.961295618
045     9.894187620     11.825413538     14.626411251     1.931225918     2.800997713
046     10.045287020     12.589193434     15.877544667     2.543906414     3.288351233
047     10.134269570     13.338256443     13.760990582     3.203986873     0.422734139
048     10.191391600     13.722603551     22.394598031     3.531211951     8.671994480
049     10.500903710     13.760990582     15.522408050     3.260086872     1.761417468
050     10.827641460     14.455950907     18.008585795     3.628309447     3.552634888
051     11.192007780     14.537354924     21.039226086     3.345347144     6.501871162
052     11.567272910     14.626411251     22.032766710     3.059138341     7.406355459
053     11.725056170     14.833486255     20.330720549     3.108430085     5.497234294
054     12.048252350     15.522408050     15.944222679     3.474155700     0.421814629
055     12.337304180     15.877544667     20.448632114     3.540240487     4.571087447
056     12.731326920     15.944222679     22.545220095     3.212895759     6.600997416
059     13.483778490     16.597616080     21.787233082     3.113837590     5.189617002
060     13.867777100     16.810688887     24.071233253     2.942911787     7.260544366
061     14.246625650     18.008585795     25.498146006     3.761960145     7.489560211
062     14.522232230     18.434840907     18.935190831     3.912608677     0.500349924
