Dead Mans Chest,Johnny Depp
Dead Mans Chest,Orlando Bloom
Dead Mans Chest,Keira Knightley
The Da vinci code,Tom Hanks
The Da vinci code,Audrey TautouIan
The Da vinci code,McKellen
Mission Impossible II,Tom Cruise
Mission Impossible II,Dougray Scott
Mission Impossible II,Thandie Newton
The Meltdown,Ray Romano
The Meltdown,John Leguizamo
The Meltdown,Denis Leary
Casino Royale,Daniel Craig
Casino Royale,Eva Green
Casino Royale,Mads Mikkelsen
Harry Potter and the Goblet of Fire,Daniel Radcliffe
Harry Potter and the Goblet of Fire,Rupert Grint
Harry Potter and the Goblet of Fire,Emma Watson
Night at the museum,Ben Stiller
Night at the museum,Owen Wilson
Night at the museum,Carla Gugino
Gladiator,Russell Crowe
Gladiator,Joaquin Phoenix
Revenge of the Sith,Ewan McGregor
Revenge of the Sith,Natalie Portman
Revenge of the Sith,Hayden Christensen
Revenge of the Sith,Ian McDiarmid
Revenge of the Sith,Samuel L. Jackson
Revenge of the Sith,Christopher Lee
Revenge of the Sith,Anthony Daniels
Revenge of the Sith,Kenny Baker
Revenge of the Sith,Frank Oz
Cast Away,Tom Hanks
Cast Away,Helen Hunt
Cars,Owen Wilson
Cars,Paul Newman
Cars,Bonnie Hunt
The Witch and the Wardrobe,William Moseley
The Witch and the Wardrobe,Anna Popplewell
The Witch and the Wardrobe,Skandar Keynes
The last stand,Hugh Jackman
The last stand,Halle BerryIan
The last stand,McKellen
War of the Worlds,Tom Cruise
War of the Worlds,Dakota Fanning
War of the Worlds,Justin Chatwin
MI3,Tom Cruise
MI3,Philip Seymour Hoffman
MI3,Ving Rhames
King Kong,Naomi Watts
King Kong,Jack Black
King Kong,Adrien Brody
What Women Want,Mel Gibson
What Women Want,Helen Hunt
Superman Returns,Brandon Routh
Superman Returns,Kate Bosworth
Superman Returns,James Marsden
Madagascar,Ben Stiller
Madagascar,Chris Rock
Madagascar,David Schwimmer
Happy feet,Brittany Murphy
Happy feet,Hugh Jackman
Happy feet,Nicole Kidman
Mr. & Mrs. Smith,Angelina Jolie
Mr. & Mrs. Smith,Brad Pitt
Mr. & Mrs. Smith,Vince Vaughn
Charlie and the Chocolate Factory,Johnny Depp
Charlie and the Chocolate Factory,Freddie Highmore
Charlie and the Chocolate Factory,David Kelly
Dinosaur,D. B. Sweeney
Dinosaur,Ossie Davis
Batman Begins,Christian Bale
Batman Begins,Michael Caine
Batman Begins,Liam Neeson
Hitch,Will Smith
Hitch,Eva Mendes
Hitch,Kevin James
Meet the Parents,Robert De Niro
Meet the Parents,Ben Stiller
Harry Potter and the Philosophers Stone,Daniel Radcliffe
Harry Potter and the Philosophers Stone,Rupert Grint
Harry Potter and the Philosophers Stone,Emma Watson
The Perfect Storm,George Clooney
The Perfect Storm,Mark Wahlberg
X-Men,Patrick Stewart
X-Men,Hugh Jackman
The Fellowship of the Ring,Elijah wood
The Fellowship of the Ring,Sean Bean
The Fellowship of the Ring,Orlando Bloom
What Lies Beneath,Harrison Ford
What Lies Beneath,Michelle Pfeiffer
What Lies Beneath,Diana Scarwid
Toy Story 2,Tom Hanks
Toy Story 2,Tim Allen
Monsters Inc,John Goodman
Monsters Inc,Billy Crystal
Shrek,Mike Myers
Shrek,Eddie Murphy
Shrek,Cameron Diaz
X-Men 2,patrick stewart
X-Men 2,hugh Jackman
X-Men 2,halle belly
Oceans Eleven,George Clooney
Oceans Eleven,Brad Pitt
Oceans Eleven,Matt Damon
Return of the king,Elijah Wood
Return of the king,Viggo Mortensen
Return of the king,Ian McKellen
The Curse of the Black Pearl,Johnny Depp
The Curse of the Black Pearl,Geoffrey Rush
The Curse of the Black Pearl,Orlando Bloom
Pearl Harbor,Ben Affleck
Pearl Harbor,Alec Baldwin
Pearl Harbor,Kate Beckinsale
The Italian Job,Donald Sutherland
The Italian Job,Mark Wahlberg
The Italian Job,Edward Norton
